PONTO,ENSAIO,VIA,VARIAVEL,Latitude,Longitude
15,FWD,CE-060,63.9,-4.057251416666666,-38.63575738888889
15,FWD,CE-060,63.9,-4.057361138888889,-38.63590061111111
15,FWD,CE-060,63.9,-4.057470888888889,-38.63604383333333
15,FWD,CE-060,63.9,-4.057580611111111,-38.63618705555555
15,FWD,CE-060,63.9,-4.057690361111111,-38.63633027777778
15,FWD,CE-060,63.9,-4.057800083333333,-38.6364735
15,FWD,CE-060,63.9,-4.057909805555555,-38.63661672222222
15,FWD,CE-060,63.9,-4.058019555555555,-38.63675994444444
15,FWD,CE-060,63.9,-4.058129277777778,-38.63690316666666
15,FWD,CE-060,63.9,-4.058239027777778,-38.63704638888889
15,FWD,CE-060,63.9,-4.0583487499999995,-38.63718961111111
15,FWD,CE-060,63.9,-4.058458472222222,-38.63733283333333
15,FWD,CE-060,63.9,-4.058568222222222,-38.63747605555555
15,FWD,CE-060,63.9,-4.058677944444444,-38.63761927777778
15,FWD,CE-060,63.9,-4.0587876666666665,-38.6377625
15,FWD,CE-060,63.9,-4.058929277777778,-38.63785938888889
15,FWD,CE-060,63.9,-4.059103055555555,-38.63790947222222
15,FWD,CE-060,63.9,-4.059276833333334,-38.637959583333334
15,FWD,CE-060,63.9,-4.059450583333333,-38.63800969444444
16,FWD,CE-060,98.3,-4.059624361111111,-38.63805977777778
16,FWD,CE-060,98.3,-4.059798111111111,-38.63810988888889
16,FWD,CE-060,98.3,-4.059971888888889,-38.63816
16,FWD,CE-060,98.3,-4.060145666666666,-38.638210083333334
16,FWD,CE-060,98.3,-4.060319416666666,-38.63826019444444
16,FWD,CE-060,98.3,-4.060493194444445,-38.63831030555556
16,FWD,CE-060,98.3,-4.060666944444444,-38.63836038888889
16,FWD,CE-060,98.3,-4.060840722222222,-38.6384105
16,FWD,CE-060,98.3,-4.0610145,-38.638460611111114
16,FWD,CE-060,98.3,-4.06118825,-38.63851069444444
16,FWD,CE-060,98.3,-4.061362027777777,-38.63856080555556
16,FWD,CE-060,98.3,-4.061535777777777,-38.638610916666664
16,FWD,CE-060,98.3,-4.061709555555556,-38.63866102777778
16,FWD,CE-060,98.3,-4.061883305555555,-38.638711111111114
16,FWD,CE-060,98.3,-4.062057083333333,-38.63876122222222
16,FWD,CE-060,98.3,-4.062230861111111,-38.63881133333333
16,FWD,CE-060,98.3,-4.062404611111111,-38.638861416666664
16,FWD,CE-060,98.3,-4.0625783888888884,-38.63891152777778
16,FWD,CE-060,98.3,-4.0627521388888885,-38.63896163888889
16,FWD,CE-060,98.3,-4.062925916666667,-38.63901172222222
16,FWD,CE-060,98.3,-4.063099694444444,-38.63906183333333
16,FWD,CE-060,98.3,-4.0632734444444445,-38.639111944444444
16,FWD,CE-060,98.3,-4.063447222222222,-38.63916202777778
16,FWD,CE-060,98.3,-4.063620972222222,-38.63921213888889
16,FWD,CE-060,98.3,-4.06379475,-38.63926225
16,FWD,CE-060,98.3,-4.0639685,-38.63931236111111
